episode,timesteps,reward,num_actions,actions_plus_1
0,16,-8.718102,4,"[46, 32, 40, 12]"
1,32,-0.78461,4,"[47, 12, 77, 20]"
2,64,5.38199,8,"[1, 69, 51, 25, 26, 8, 23, 5]"
3,88,0.753059,6,"[4, 34, 53, 7, 28, 17]"
4,96,7.530279,2,"[39, 65]"
5,112,5.568982,4,"[62, 74, 34, 25]"
6,128,4.872506,4,"[34, 64, 10, 22]"
7,140,-6.717606,3,"[52, 39, 13]"
8,160,5.004632,5,"[46, 1, 69, 16, 11]"
9,184,-7.377059,6,"[48, 28, 23, 15, 25, 4]"
10,200,1.983108,4,"[62, 42, 14, 12]"
11,212,3.387541,3,"[63, 22, 19]"
12,224,8.339479,3,"[63, 77, 16]"
13,244,11.092067,5,"[77, 75, 18, 14, 24]"
14,260,6.940067,4,"[59, 53, 21, 23]"
15,288,-10.595272,7,"[25, 12, 31, 3, 16, 53, 16]"
16,304,10.189139,4,"[55, 18, 75, 8]"
17,328,-10.091194,6,"[33, 39, 42, 1, 29, 12]"
18,360,-9.826723,8,"[20, 11, 9, 41, 33, 9, 9, 24]"
19,380,-9.291614,5,"[44, 45, 2, 38, 14]"
20,392,11.612043,3,"[67, 54, 9]"
21,404,2.85224,3,"[59, 34, 11]"
22,428,28.672664,6,"[64, 25, 76, 1, 12, 17]"
23,444,-6.296653,4,"[35, 37, 20, 12]"
24,468,-2.548121,6,"[15, 65, 36, 8, 16, 16]"
25,496,-2.484941,7,"[48, 3, 12, 2, 37, 57, 23]"
26,520,-5.710494,6,"[49, 2, 1, 23, 21, 8]"
27,540,-5.720463,5,"[31, 36, 74, 46, 21]"
28,560,-5.948126,5,"[42, 10, 1, 46, 5]"
29,584,-0.507154,6,"[72, 28, 6, 25, 13, 25]"
30,612,-10.075076,7,"[28, 43, 24, 10, 28, 24, 25]"
31,628,7.05049,4,"[28, 60, 54, 1]"
32,640,8.487959,3,"[69, 64, 23]"
33,656,7.12131,4,"[77, 67, 33, 18]"
34,672,5.144231,4,"[53, 74, 45, 10]"
35,696,-9.32767,6,"[3, 19, 54, 40, 16, 11]"
36,708,7.518563,3,"[59, 74, 23]"
37,736,0.959426,7,"[57, 1, 24, 23, 11, 21, 6]"
38,760,-4.176605,6,"[21, 66, 46, 19, 26, 17]"
39,788,-0.193197,7,"[69, 38, 27, 8, 17, 18, 18]"
40,804,1.779407,4,"[3, 38, 51, 12]"
41,816,1.087406,3,"[60, 46, 24]"
42,836,4.007294,5,"[51, 14, 51, 77, 15]"
43,860,-6.887658,6,"[18, 2, 50, 21, 13, 13]"
44,880,3.437113,5,"[30, 74, 51, 29, 11]"
45,908,-11.529767,7,"[26, 51, 8, 20, 21, 41, 15]"
46,932,-3.022806,6,"[49, 14, 77, 3, 29, 10]"
47,944,3.157271,3,"[72, 12, 20]"
48,956,1.543323,3,"[22, 64, 18]"
49,972,-6.042914,4,"[15, 30, 45, 14]"
50,988,6.199986,4,"[41, 63, 20, 6]"
51,1008,-9.076301,5,"[39, 33, 14, 39, 18]"
52,1036,-0.229261,7,"[32, 65, 28, 26, 2, 32, 23]"
53,1060,7.148141,6,"[76, 27, 56, 6, 7, 23]"
54,1080,6.000859,5,"[11, 11, 16, 61, 5]"
55,1112,-7.444962,8,"[14, 11, 14, 27, 22, 3, 36, 3]"
56,1124,-6.701511,3,"[52, 38, 14]"
57,1140,1.731361,4,"[13, 12, 62, 17]"
58,1160,-5.254664,5,"[9, 34, 21, 22, 18]"
59,1176,4.477671,4,"[46, 51, 58, 14]"
60,1188,1.970369,3,"[71, 39, 7]"
61,1208,5.047888,5,"[14, 11, 59, 61, 24]"
62,1228,7.914273,5,"[6, 1, 75, 71, 55]"
63,1248,-7.27465,5,"[38, 36, 6, 22, 15]"
64,1264,10.032397,4,"[16, 68, 64, 8]"
65,1288,-7.169837,6,"[11, 16, 16, 47, 6, 21]"
66,1304,2.160042,4,"[18, 77, 37, 24]"
67,1320,8.644775,4,"[59, 21, 54, 9]"
68,1348,-1.996596,7,"[14, 8, 1, 56, 28, 73, 2]"
69,1364,-0.421541,4,"[43, 30, 66, 4]"
70,1384,-0.150977,5,"[8, 2, 76, 39, 5]"
71,1404,7.248056,5,"[5, 74, 73, 54, 2]"
72,1428,1.047687,6,"[7, 6, 75, 3, 19, 33]"
73,1452,15.320679,6,"[34, 76, 5, 41, 24, 2]"
74,1476,3.538438,6,"[20, 76, 14, 7, 16, 23]"
75,1492,12.712412,4,"[38, 67, 58, 6]"
76,1508,-9.448044,4,"[41, 50, 34, 5]"
77,1524,12.536932,4,"[65, 19, 64, 21]"
78,1536,12.234999,3,"[65, 54, 11]"
79,1556,5.914614,5,"[11, 69, 25, 58, 6]"
