week,date,Temperatura del Agua(ºC)
1,2018-01-01,14.04
2,2018-01-08,14.63
3,2018-01-15,14.21
4,2018-01-22,13.79
5,2018-01-29,13.589999999999998
6,2018-02-05,13.0825
7,2018-02-12,12.575
8,2018-02-19,12.837499999999999
9,2018-02-26,13.1
10,2018-03-05,13.09
11,2018-03-12,13.08
12,2018-03-19,13.07
13,2018-03-26,13.06
14,2018-04-02,13.05
15,2018-04-09,12.65
16,2018-04-16,12.82
17,2018-04-23,15.045
18,2018-04-30,15.5825
19,2018-05-07,16.12
20,2018-05-14,16.0
21,2018-05-21,16.35
22,2018-05-28,19.68
23,2018-06-04,21.49
24,2018-06-11,22.401666666666667
25,2018-06-18,23.313333333333333
26,2018-06-25,24.225
27,2018-07-02,26.49
28,2018-07-09,26.046666666666667
29,2018-07-16,25.42
30,2018-07-23,25.79
31,2018-07-30,27.17333333333333
32,2018-08-06,28.7625
33,2018-08-13,28.19
34,2018-08-20,26.05
35,2018-08-27,26.4675
36,2018-09-03,26.208750000000002
37,2018-09-10,25.95
38,2018-09-17,26.12
39,2018-09-24,25.9775
40,2018-10-01,24.366666666666664
41,2018-10-08,22.646666666666665
42,2018-10-15,23.79
43,2018-10-22,22.39333333333333
44,2018-10-29,20.8
45,2018-11-05,18.68
46,2018-11-12,18.380000000000003
47,2018-11-19,17.9525
48,2018-11-26,17.525
49,2018-12-03,17.169999999999998
50,2018-12-10,16.814999999999998
51,2018-12-17,16.356666666666666
52,2018-12-24,15.830000000000002
53,2018-12-31,15.15
54,2019-01-07,14.965
55,2019-01-14,14.744
56,2019-01-21,14.14
57,2019-01-28,13.575
58,2019-02-04,13.3
59,2019-02-11,13.405
60,2019-02-18,13.113333333333337
61,2019-02-25,13.066666666666668
62,2019-03-04,13.297999999999998
63,2019-03-11,13.81
64,2019-03-18,13.83
65,2019-03-25,14.096666666666666
66,2019-04-01,14.0825
67,2019-04-08,14.046666666666669
68,2019-04-15,14.3575
69,2019-04-22,14.85875
70,2019-04-29,15.36
71,2019-05-06,15.3875
72,2019-05-13,16.305
73,2019-05-20,16.3775
74,2019-05-27,17.009999999999998
75,2019-06-03,18.372
