episode,timesteps,reward,num_actions,actions_plus_1
0,16,11.999564,4,"[54, 4, 65, 20]"
1,44,-15.820318,7,"[40, 55, 2, 32, 24, 37, 18]"
2,68,6.589485,6,"[53, 53, 7, 2, 26, 2]"
3,88,17.881105,5,"[78, 36, 5, 15, 22]"
4,104,10.323202,4,"[66, 54, 32, 17]"
5,128,-1.974976,6,"[29, 64, 21, 14, 22, 6]"
6,152,-4.847636,6,"[30, 18, 1, 34, 44, 68]"
7,176,-0.835404,6,"[53, 27, 15, 6, 18, 11]"
8,188,-7.382912,3,"[34, 50, 20]"
9,208,0.157223,5,"[10, 69, 38, 53, 25]"
10,232,25.024106,6,"[76, 5, 34, 8, 62, 23]"
11,252,6.793509,5,"[62, 54, 37, 26, 3]"
12,272,-7.213162,5,"[27, 35, 5, 46, 4]"
13,284,8.202457,3,"[71, 15, 18]"
14,296,20.288848,3,"[78, 3, 23]"
15,312,1.996524,4,"[18, 4, 69, 13]"
16,344,-8.786343,8,"[24, 37, 15, 31, 6, 17, 15, 24]"
17,368,3.802556,6,"[22, 73, 3, 2, 57, 25]"
18,388,-9.888326,5,"[31, 33, 49, 28, 15]"
19,408,11.619395,5,"[65, 65, 6, 52, 7]"
20,432,-4.243043,6,"[44, 33, 53, 10, 10, 19]"
21,444,-8.522856,3,"[46, 50, 8]"
22,464,12.47681,5,"[68, 27, 1, 46, 1]"
23,480,-10.976147,4,"[38, 58, 30, 4]"
24,492,-0.077138,3,"[25, 70, 22]"
25,516,8.77064,6,"[60, 63, 32, 5, 23, 25]"
26,528,-6.822814,3,"[25, 54, 25]"
27,548,-4.180719,5,"[55, 47, 27, 35, 5]"
28,564,1.030034,4,"[50, 19, 64, 23]"
29,580,-1.067425,4,"[40, 16, 55, 19]"
30,592,4.472128,3,"[52, 71, 20]"
31,612,1.901904,5,"[56, 40, 46, 42, 11]"
32,632,4.53446,5,"[2, 78, 46, 19, 11]"
33,668,-2.320879,9,"[15, 26, 34, 53, 8, 2, 1, 19, 11]"
34,692,1.871989,6,"[37, 1, 77, 23, 15, 16]"
35,720,-7.952546,7,"[24, 12, 27, 23, 13, 27, 4]"
36,748,-4.006436,7,"[42, 28, 7, 73, 16, 16, 13]"
37,764,12.201994,4,"[72, 1, 72, 11]"
38,788,0.436416,6,"[53, 11, 22, 3, 3, 25]"
39,808,-6.347732,5,"[47, 57, 30, 49, 12]"
40,828,7.731848,5,"[58, 43, 65, 17, 12]"
41,848,-5.188736,5,"[5, 25, 30, 20, 24]"
42,872,5.880286,6,"[64, 9, 1, 7, 19, 17]"
43,900,-1.918167,7,"[39, 21, 23, 32, 63, 26, 4]"
44,920,-10.3028,5,"[41, 31, 6, 50, 15]"
45,936,11.784948,4,"[43, 74, 71, 20]"
46,964,-2.443142,7,"[3, 18, 24, 54, 22, 45, 3]"
47,988,17.103695,6,"[77, 26, 17, 23, 19, 7]"
48,1000,19.325002,3,"[77, 24, 16]"
49,1012,0.41846,3,"[53, 40, 11]"
50,1024,-7.477625,3,"[33, 53, 18]"
51,1048,-3.730556,6,"[55, 29, 18, 38, 25, 4]"
52,1072,-4.747991,6,"[43, 63, 22, 19, 35, 13]"
53,1092,7.681037,5,"[8, 75, 62, 18, 19]"
54,1112,7.146656,5,"[59, 77, 38, 27, 7]"
55,1128,-1.812058,4,"[48, 58, 25, 12]"
56,1156,-4.267532,7,"[58, 30, 12, 24, 49, 28, 7]"
57,1176,-7.799157,5,"[35, 58, 42, 55, 18]"
58,1188,2.23144,3,"[49, 64, 17]"
59,1208,23.273265,5,"[77, 58, 2, 32, 13]"
60,1224,13.365622,4,"[71, 2, 68, 15]"
61,1236,0.478974,3,"[56, 46, 2]"
62,1256,1.521881,5,"[55, 1, 18, 28, 2]"
63,1272,1.945269,4,"[13, 64, 36, 17]"
64,1296,9.740349,6,"[9, 3, 70, 77, 45, 4]"
65,1320,2.937461,6,"[30, 29, 64, 2, 38, 6]"
66,1332,13.951718,3,"[65, 73, 5]"
67,1348,-3.29092,4,"[41, 44, 59, 12]"
68,1360,26.117614,3,"[77, 57, 9]"
69,1388,11.707435,7,"[67, 7, 60, 14, 7, 12, 15]"
70,1412,10.199971,6,"[62, 77, 3, 2, 33, 5]"
71,1428,7.530685,4,"[72, 1, 8, 23]"
72,1448,3.945241,5,"[64, 38, 1, 25, 2]"
73,1472,11.637178,6,"[64, 75, 13, 4, 23, 3]"
74,1492,-5.205456,5,"[24, 48, 77, 44, 15]"
75,1516,15.264617,6,"[12, 37, 76, 26, 29, 15]"
76,1540,9.326672,6,"[72, 4, 29, 59, 34, 10]"
77,1568,-5.197096,7,"[46, 54, 19, 28, 1, 9, 25]"
78,1580,19.97117,3,"[76, 31, 10]"
